“””
Index list of the matrix
['Unknown', 'Communication', 'Social', 'Tools', 'Travel', 'Productivity', 'Weather', 'News', 'Media', 'Photography', 'Finance', 'Entertainment', 'Books', 'Personalization', 'Lifestyle', 'Music', 'Game']
“””


ce7bd488-c03d-4613-b89b-34f3c111e889

[[37, 52, 23, 30, 0, 30, 0, 1, 4, 2, 8, 0, 0, 20, 0, 0, 0],
 [49, 70, 35, 26, 2, 70, 0, 2, 2, 1, 9, 5, 1, 27, 1, 0, 1],
 [17, 30, 5, 14, 1, 32, 1, 0, 2, 0, 3, 0, 0, 6, 1, 0, 1],
 [27, 37, 16, 12, 1, 35, 0, 1, 3, 0, 9, 0, 2, 18, 3, 0, 1],
 [3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0],
 [27, 66, 16, 41, 1, 65, 1, 1, 2, 0, 8, 1, 0, 19, 2, 0, 0],
 [0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1],
 [3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0],
 [6, 1, 2, 5, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0],
 [0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
 [12, 10, 3, 6, 0, 16, 0, 0, 2, 0, 1, 0, 1, 6, 0, 1, 0],
 [3, 2, 3, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0],
 [1, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0],
 [22, 25, 10, 9, 3, 11, 2, 0, 1, 0, 2, 4, 1, 0, 0, 3, 1],
 [0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0],
 [0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
 [0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]]
2a44be79-a397-478e-8cbd-491defee4507

[[92, 51, 13, 12, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0],
 [52, 15, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0],
 [11, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0],
 [4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
